ID_oscar,year,movie_title,oscar_winner
1,1929,Wings,1
2,1929,Seventh Heaven,0
3,1929,The Racket,0
4,1930,The Broadway Melody,1
5,1930,Alibi,0
6,1930,The Hollywood Revue of 1929,0
7,1930,In Old Arizona,0
8,1930,The Patriot,0
9,1930,All Quiet on the Western Front,1
10,1930,The Big House,0
11,1930,Disraeli,0
12,1930,The Divorcee,0
13,1930,The Love Parade,0
14,1931,Cimarron,1
15,1931,East Lynne,0
16,1931,The Front Page,0
17,1931,Skippy,0
18,1931,Trader Horn,0
19,1932,Grand Hotel,1
20,1932,Arrowsmith,0
21,1932,Bad Girl,0
22,1932,The Champ,0
23,1932,Five Star Final,0
24,1932,One Hour With You,0
25,1932,Shanghai Express,0
26,1932,The Smiling Lieutenant,0
27,1934,Cavalcade,1
28,1934,42nd Street,0
29,1934,A Farewell to Arms,0
30,1934,I Am a Fugitive from a Chain Gang,0
31,1934,Lady for a Day,0
32,1934,Little Women,0
33,1934,The Private Life of Henry VIII,0
34,1934,She Done Him Wrong,0
35,1934,Smilin' Through,0
36,1934,State Fair,0
37,1935,It Happened One Night,1
38,1935,The Barretts of Wimpole Street,0
39,1935,Cleopatra,0
40,1935,Flirtation Walk,0
41,1935,The Gay Divorcee,0
42,1935,Here Comes the Navy,0
43,1935,The House of Rothschild,0
44,1935,Imitation of Life,0
45,1935,One Night of Love,0
46,1935,The Thin Man,0
47,1935,Viva Villa!,0
48,1935,The White Parade,0
49,1936,Mutiny on the Bounty,1
50,1936,Alice Adams,0
51,1936,Broadway Melody of 1936,0
52,1936,Captain Blood,0
53,1936,David Copperfield,0
54,1936,The Informer,0
55,1936,Les Misérables,0
56,1936,The Lives of a Bengal Lancer,0
57,1936,A Midsummer Night's Dream,0
58,1936,Naughty Marietta,0
59,1936,Ruggles of Red Gap,0
60,1936,Top Hat,0
61,1937,The Great Ziegfeld,1
62,1937,Anthony Adverse,0
63,1937,Dodsworth,0
64,1937,Libeled Lady,0
65,1937,Mr. Deeds Goes to Town,0
